Model,#States,BVI_1,OVI_1_opt,SVI_1
RND_40000_1,40000,0.75,0.75,0.75
RND_40000_10,40000,0.5,0.5,0.5
RND_40000_11,40000,1.0,1.0,1.0
RND_40000_12,40000,1.0,1.0,1.0
RND_40000_13,40000,1.0,1.0,1.0
RND_40000_14,40000,0.0,0.0,0.0
RND_40000_15,40000,0.5,0.5,0.5
RND_40000_16,40000,1.0,1.0,1.0
RND_40000_17,40000,0.0,0.0,0.0
RND_40000_18,40000,0.0,0.0,0.0
RND_40000_19,40000,0.5,0.5,0.5
RND_40000_2,40000,1.0,1.0,1.0
RND_40000_20,40000,1.0,1.0,1.0
RND_40000_3,40000,1.0,,1.0
RND_40000_4,40000,0.0,,0.0
RND_40000_5,40000,0.0,0.0,0.0
RND_40000_6,40000,1.0,1.0,1.0
RND_40000_7,40000,0.5,0.5,0.5
RND_40000_8,,,1.0,1.0
RND_40000_9,40000,0.0,0.0,0.0
