Model,#States,BVI,DG_BVI,DG_SVI,D_BVI,D_SVI,G_BVI,G_OVI,G_SVI,LP_SI,OPT_OVI,OVI,SI,SI_SI,SVI,TOP_BVI,TOP_OVI,TOP_SVI,TOP_VI,T_BVI,T_LP_SI,T_OVI,T_SI_SI,T_SVI,VI,WP
AV10_10_1,106524,1,1,1,1,1,1,2,1,,2,2,,,1,0,0,0,0,0,,0,,0,1,
AV10_10_2,106524,84,64,467,84,412,64,377,102,,506,506,,,170,,,,,2178,,2059,,,165,
AV10_10_3,106524,1,1,1,1,1,1,574,1,,745,745,,,1,,,,,222,,273,,,155,
AV15_15_1,480464,1,1,1,1,1,1,2,1,,2,2,,,1,0,0,0,0,0,,0,,0,1,
AV15_15_2,480464,,31,,,,,,,,,578,,,,,,,,,,,,,,
AV15_15_3,480464,1,1,1,1,1,1,392,1,,539,539,,,,,,,,,,,,,157,
adt,305,7,7,7,7,7,7,12,7,,12,12,,,7,43,43,43,43,43,,43,,,8,
cdmsn,1240,1,1,1,1,1,1,2,1,,2,2,,,1,0,0,0,0,0,,0,,0,1,
charlton1,502,1,1,1,1,1,1,8,1,,20,20,,,1,107,107,107,107,107,,107,,,18,
charlton2,502,43,13,15,43,45,13,26,15,,76,76,,,45,67,89,534,67,67,,89,,,54,
cloud5,8842,5,4,102,102,102,4,7,4,,9,9,,,4,1042,,,525,1301,,788,,,6,
cloud6,34954,7,5,202,102,202,5,9,7,,11,11,,,7,7553,,,,7553,,3272,,,8,
coins,19,3,2,2,3,3,2,4,2,,5,5,,,3,4,4,4,4,4,,4,,,4,
dice100,554395,261,132,133,261,263,132,209,133,,679,679,,,263,228944,228944,228944,228944,228944,,228944,,,273,
dice150,1236595,361,182,183,361,363,182,336,183,,1047,1047,,,363,,,,,512169,,512169,,,373,
dice50,96295,101,52,52,101,101,52,56,52,,105,105,,,101,844,844,844,844,844,,844,,,102,
hallway10_10_1,400000,1,1,1,1,1,1,2,1,,2,2,,,1,0,0,0,0,0,,0,,0,1,
hallway10_10_2,400000,1,1,1,1,1,1,3,1,,3,3,,,1,40000,40000,40000,40000,40000,,40000,,,2,
hallway15_15_1,2025000,1,1,1,1,1,1,2,1,,2,2,,,1,0,0,0,0,0,,0,,0,1,
hallway15_15_2,2025000,1,1,1,1,1,1,3,1,,3,3,,,1,202500,202500,202500,202500,202500,,202500,,,2,
mdsm1,62245,121,121,121,121,121,121,133,121,,133,133,,,121,27559,27559,27559,27559,27559,,27559,,,121,
mdsm2,62245,1,1,1,1,1,1,2,1,,2,2,,,1,0,0,0,0,0,,0,,0,1,
prison_dil,102,7,4,4,7,7,4,6,4,,9,9,,,7,26,26,26,26,26,,26,,,8,
teamform3,12476,1,1,1,1,1,1,2,1,,2,2,,,1,0,0,0,0,0,,0,,0,1,
teamform4,96666,1,1,1,1,1,1,2,1,,2,2,,,1,0,0,0,0,0,,0,,0,1,
two_investors,172240,68,41,49,68,84,41,392,49,,681,681,,,84,,27396,,,28015,,27490,,,249,
