Model,#States,LP,LP_T,VI_B,VI_O
consensus,43136,0.40627527595820573,0.0,0.4062752716526596,0.40624450492695346
csma_1,761962,0.7764601493129573,0.7764601493129574,,0.776459404375732
csma_2,761962,0.0924505139147953,0.09245051391479531,0.09245049064326674,0.0924504660890483
csma_3,761962,0.35546875,0.35546875,0.35546875,0.35546875
firewire,1078695,0.931640625,0.931640625,0.931640625,0.931640625
firewire_dl,375765,0.8515625,0.8515625,0.8515625,0.8515625
pacman,882686,0.5511,0.5511,0.5511,0.5511
philosophers,,,,1.0,1.0
pnueli-zuck,,,,1.0,1.0
rabin,27766,1.0,1.0,1.0,1.0
wlan,5007548,1.0,1.0,1.0,1.0
wlan_dl,10131465,0.81640625,0.81640625,0.81640625,0.81640625
zeroconf_dl,411031,0.005397647597948925,0.005397647597948925,,0.005397646460506247
