Model,#States,BVI,D_BVI,D_SVI,G_BVI,G_OVI,G_SVI,LP_SI,OPT_OVI,OVI,SI,SI_SI,SVI,TOP_BVI,TOP_VI,T_BVI,T_LP_SI,T_OVI,T_SI_SI,T_SVI,VI,WP,WP_OVI,WP_P3
simple,3,0.01,0.015,0.013,0.011,0.008,0.01,0.064,0.013,0.009,0.018,0.063,0.016,0.066,0.071,0.013,0.008,0.012,0.007,0.012,0.007,0.002,0.01,0.007
simple_10000000_1_SCC,3,499.262,438.206,806.433,431.18,320.983,753.332,,330.775,371.629,,,783.356,581.999,513.938,492.107,,215.167,,842.941,383.951,,354.122,804.652
simple_10000000_5_SCC,3,,,,,,,,,,,,,1433.221,,1622.325,,444.873,,,,,1662.268,
simple_1000000_1_SCC,3,43.787,37.017,68.548,33.327,26.495,64.623,276.882,28.804,29.068,585.282,,67.863,53.707,39.437,43.326,274.134,14.172,,79.173,33.266,,29.17,53.319
simple_1000000_5_SCC,3,275.187,255.99,395.774,226.19,298.645,374.462,,344.171,346.731,1236.055,,401.829,156.327,,173.531,138.902,34.399,,,159.809,,240.257,401.318
simple_100000_1_SCC,3,3.424,3.353,6.821,3.029,2.583,6.55,13.56,3.089,3.112,58.157,16.542,6.748,6.049,4.229,3.991,13.189,1.17,14.694,8.246,3.142,,2.762,4.33
simple_100000_5_SCC,3,21.745,21.859,32.674,17.796,23.958,29.117,12.091,29.006,29.341,112.516,15.361,32.017,13.179,,11.923,7.889,2.252,12.927,,13.723,,11.843,25.34
simple_2000000_1_SCC,3,70.787,69.951,134.986,63.421,58.781,126.788,813.109,63.663,64.356,,,133.218,103.149,86.246,84.686,,28.068,,135.417,62.385,,67.522,134.549
simple_2000000_5_SCC,3,473.106,468.0,723.97,391.861,1037.11,696.633,703.652,1166.707,1175.219,,,745.472,263.625,,284.725,366.236,71.841,,,290.903,,265.944,753.834
simple_3000000_1_SCC,3,113.824,112.84,215.412,98.136,80.073,201.974,1453.597,91.253,92.154,,,213.556,165.242,132.201,141.506,,45.483,,250.047,104.719,,94.845,227.212
simple_3000000_5_SCC,3,722.416,720.747,1157.825,611.979,1168.424,1105.022,,1361.488,1388.975,,176.916,1150.179,389.154,,450.784,,111.221,,,459.547,,672.41,1244.764
simple_4000000_1_SCC,3,157.114,153.892,245.801,127.305,107.487,235.938,,134.615,131.856,,,241.912,,159.563,183.504,,58.795,,294.988,134.611,,127.83,190.158
simple_4000000_5_SCC,3,901.474,840.988,1375.651,755.77,1039.579,1250.273,,1305.854,1267.105,,,1360.715,470.012,397.54,460.222,,152.97,,,625.176,,556.355,
simple_5000000_1_SCC,3,202.134,198.181,312.795,176.619,141.632,299.517,,149.275,147.106,,,310.884,,227.596,239.892,,84.261,,377.274,167.491,,148.6,301.517
simple_5000000_5_SCC,3,1080.608,1054.439,1650.448,918.581,1336.055,1602.446,,1570.779,1573.746,,,1693.233,589.712,,580.208,,215.181,,,770.696,,728.74,1723.37
simple_500000_1_SCC,3,21.052,20.776,30.757,18.342,13.755,28.792,133.588,14.656,14.824,398.792,81.419,30.856,27.422,20.253,25.178,133.114,8.423,,36.9,16.489,,14.954,22.127
simple_500000_5_SCC,3,127.409,127.0,183.428,115.556,231.287,173.05,141.766,252.488,252.354,1020.657,,181.434,73.477,,75.816,64.124,20.643,,,82.9,,76.367,160.747
simple_50000_1_SCC,3,1.578,1.617,3.6,1.528,0.88,3.36,5.781,1.233,1.223,27.536,,3.556,2.154,2.151,1.898,5.773,0.682,7.079,4.237,1.531,,1.255,2.135
simple_50000_5_SCC,3,9.065,9.144,13.916,6.372,10.141,14.102,7.678,12.871,12.998,65.513,8.076,14.336,4.564,3.921,4.464,4.999,1.105,,,6.105,,5.589,10.548
