Model,#States,BVI,G_OVI,LP_SI,OVI,TOP_BVI,T_LP_SI,T_OVI,T_SI_SI,WP_P3
simple,3,0.014,0.011,0.08,0.009,0.057,0.007,0.015,0.008,0.011
simple_1000000_10_SCC ,,,,,,,,,,
simple_1000000_1_SCC,3,443.105,364.161,,555.492,584.181,,197.294,,1315.681
simple_1000000_2_SCC,3,,,,,1233.216,,265.784,,
simple_1000000_4_SCC,3,,,,,,,397.785,,
simple_1000000_5_SCC,3,,,,,,,462.778,,
simple_100000_10_SCC,3,297.247,668.395,423.332,779.953,151.765,146.841,59.413,,412.602
simple_100000_1_SCC,3,36.669,33.921,313.783,52.592,51.4,273.585,15.439,,95.321
simple_100000_2_SCC,3,157.956,195.012,260.178,221.377,104.314,214.68,20.824,,244.182
simple_100000_4_SCC,3,168.527,211.804,334.3,241.6,86.664,181.178,30.441,,229.247
simple_100000_5_SCC,3,264.963,396.884,244.837,634.009,149.038,141.3,34.973,,389.18
