Model,#States,BVI,D_BVI,D_SVI,G_BVI,G_OVI,G_SVI,LP_SI,OPT_OVI,OVI,SI,SI_SI,SVI,TOP_BVI,TOP_OVI,TOP_SVI,TOP_VI,T_BVI,T_LP_SI,T_OVI,T_SI_SI,T_SVI,VI,WP,WP_OVI,WP_P3
BigMec_1e1,23,0.086,0.025,0.034,0.042,0.021,0.021,0.056,0.017,0.021,0.022,0.018,0.024,0.119,0.028,0.028,0.024,0.04,0.061,0.025,0.026,0.027,0.013,0.007,0.012,0.014
BigMec_1e2,203,0.861,0.162,0.173,0.349,0.168,0.102,0.123,0.092,0.093,0.102,0.278,0.161,0.591,0.187,0.181,0.18,0.374,0.092,0.11,0.275,0.111,0.102,0.069,0.073,0.094
BigMec_1e3,2003,10.723,2.849,2.437,7.135,1.38,1.574,1.323,1.244,1.263,1.364,45.793,1.863,8.861,15.836,14.381,15.829,7.265,1.027,1.172,48.626,1.636,1.436,1.655,0.98,1.678
BigMec_1e4,20003,845.599,257.823,203.19,876.899,164.021,225.74,129.955,141.421,164.565,141.565,,306.567,624.954,,,,847.133,103.305,149.738,,245.272,188.069,189.583,128.276,206.609
ManyMECs_1e1,32,0.173,0.177,0.133,0.121,0.215,0.046,0.033,0.155,0.17,0.035,0.033,0.04,0.173,0.043,,0.03,0.104,0.044,0.036,0.028,,0.026,0.023,0.021,0.035
ManyMECs_1e2,302,1.61,2.893,6.85,1.118,2.716,0.711,0.209,1.743,1.709,0.297,0.715,0.536,0.778,0.175,,0.163,,0.362,0.177,0.151,,0.189,0.212,0.148,0.283
ManyMECs_1e3,3002,65.936,163.992,612.677,33.224,81.04,15.985,3.796,79.647,84.541,25.848,322.975,13.836,6.987,3.503,,3.788,,4.764,3.403,2.837,,5.356,8.323,4.79,9.091
hm_10,21,0.112,0.116,0.164,0.112,0.075,0.137,0.039,0.1,0.123,0.066,0.023,0.355,0.278,0.109,0.158,0.08,0.155,0.038,0.095,0.025,0.111,0.08,0.296,0.106,0.178
hm_20,41,147.363,97.492,111.526,48.476,30.092,58.443,0.081,66.35,42.837,1.944,0.037,112.199,71.941,43.854,101.601,0.118,101.924,0.085,43.425,0.039,118.467,0.1,106.977,47.424,108.077
hm_25,51,,,,,,,0.082,,,2.587,0.056,,,,,0.147,,0.092,,0.054,,0.157,,,
hm_5,11,0.026,0.03,0.029,0.028,0.016,0.02,0.066,0.024,0.021,0.023,0.02,0.029,0.127,0.031,0.032,0.042,0.026,0.068,0.029,0.02,0.032,0.021,0.018,0.02,0.024
