Model,#States,BVI,G_BVI,OVI,T_LP_SI,WP_P3
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_30,10000,0.6743033818969595,0.6743033818969595,0.6743033596986656,0.6743033818963099,0.6743023847905039
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_30_1000000_1_SCC,10000,,,0.33782733306778606,0.33782734563943384,0.3378263486077909
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_30_10000_1_SCC,10000,,,0.3385057014655797,0.3385057138033684,0.3385047146791179
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_30_10000_2_SCC,10000,,,0.2522363209524389,0.25223633033939696,0.2522353309225318
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_74,10000,0.8786763507601817,0.8786763759917988,0.8786769058589892,0.8786772979703777,0.8786763054616377
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_74_1000000_1_SCC,10000,0.4402181416282785,0.44021817826133147,0.44021885604861993,0.4402190871595079,0.44021809640990134
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_74_10000_1_SCC,10000,0.4411021245924847,0.4411021502627691,0.4411028296843885,0.44110306123010934,0.441102068270571
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_74_10000_2_SCC,10000,0.3286854407491775,0.3286854793651706,0.3286862035489242,0.3286863793702082,0.3286853843081234
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_89,10000,0.9534033871905766,0.953403651130354,0.9534040035612383,0.9534042145515504,0.9534032161759894
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_89_1000000_1_SCC,10000,0.47765667504370796,0.47765694804220965,0.4776573072541033,0.4776574221200153,0.4776564256064442
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_89_10000_1_SCC,10000,0.47861582481466153,0.4786160984045828,0.47861645920207796,0.47861657357005544,0.47861557481677675
RANDOM_Size_10000_MinAct_10_MinTransProb_0.0001_Model_89_10000_2_SCC,10000,0.35663872838546395,0.3566390074044818,0.35663933071243775,0.356639439850204,0.3566384420782123
simple,3,0.5,0.5,0.5,0.5,0.5
simple_1000000_1_SCC,3,0.250501,0.250501,0.25050100200000003,0.250501002004008,0.250501
simple_10000_1_SCC,3,0.251004,0.251004,0.251004,0.25100401606425704,0.251004
simple_10000_2_SCC,3,0.18703443750795976,0.18703443750795976,0.18703464758564675,0.18703475105674633,0.18703380090890825
